x1,y1
0,0
0.001001,3.9557e-05
0.002002,0.00015822
0.003003,0.00035598
0.004004,0.00063279
0.005005,0.00098861
0.006006,0.0014234
0.007007,0.0019371
0.008008,0.0025295
0.009009,0.0032007
0.01001,0.0039505
0.011011,0.0047788
0.012012,0.0056855
0.013013,0.0066703
0.014014,0.0077333
0.015015,0.0088741
0.016016,0.010093
0.017017,0.011389
0.018018,0.012762
0.019019,0.014212
0.02002,0.01574
0.021021,0.017344
0.022022,0.019024
0.023023,0.02078
0.024024,0.022613
0.025025,0.02452
0.026026,0.026503
0.027027,0.028561
0.028028,0.030694
0.029029,0.032901
0.03003,0.035181
0.031031,0.037535
0.032032,0.039963
0.033033,0.042463
0.034034,0.045036
0.035035,0.04768
0.036036,0.050396
0.037037,0.053184
0.038038,0.056042
0.039039,0.05897
0.04004,0.061968
0.041041,0.065035
0.042042,0.068171
0.043043,0.071376
0.044044,0.074648
0.045045,0.077988
0.046046,0.081394
0.047047,0.084867
0.048048,0.088405
0.049049,0.092008
0.05005,0.095676
0.051051,0.099408
0.052052,0.1032
0.053053,0.10706
0.054054,0.11098
0.055055,0.11496
0.056056,0.11901
0.057057,0.12311
0.058058,0.12727
0.059059,0.13149
0.06006,0.13577
0.061061,0.14011
0.062062,0.14451
0.063063,0.14896
0.064064,0.15346
0.065065,0.15802
0.066066,0.16264
0.067067,0.16731
0.068068,0.17203
0.069069,0.1768
0.07007,0.18163
0.071071,0.1865
0.072072,0.19143
0.073073,0.1964
0.074074,0.20142
0.075075,0.20649
0.076076,0.2116
0.077077,0.21676
0.078078,0.22197
0.079079,0.22722
0.08008,0.23251
0.081081,0.23785
0.082082,0.24322
0.083083,0.24864
0.084084,0.2541
0.085085,0.25959
0.086086,0.26513
0.087087,0.2707
0.088088,0.2763
0.089089,0.28195
0.09009,0.28762
0.091091,0.29333
0.092092,0.29908
0.093093,0.30485
0.094094,0.31066
0.095095,0.31649
0.096096,0.32236
0.097097,0.32825
0.098098,0.33417
0.099099,0.34012
0.1001,0.34609
0.1011,0.35209
0.1021,0.35811
0.1031,0.36415
0.1041,0.37021
0.10511,0.37629
0.10611,0.3824
0.10711,0.38852
