x1,y1
0,0
0.001001,0
0.002002,0
0.003003,0
0.004004,0
0.005005,0
0.006006,0
0.007007,0
0.008008,0
0.009009,0
0.01001,0
0.011011,0
0.012012,0
0.013013,0
0.014014,0
0.015015,0
0.016016,0
0.017017,0
0.018018,0
0.019019,0
0.02002,0
0.021021,0
0.022022,0
0.023023,0
0.024024,0
0.025025,0
0.026026,0
0.027027,0
0.028028,0
0.029029,0
0.03003,0
0.031031,0
0.032032,0
0.033033,0
0.034034,0
0.035035,0
0.036036,0
0.037037,0
0.038038,0
0.039039,0
0.04004,0
0.041041,0
0.042042,0
0.043043,0
0.044044,0
0.045045,0
0.046046,0
0.047047,0
0.048048,0
0.049049,0
0.05005,0
0.051051,0
0.052052,0
0.053053,0
0.054054,0
0.055055,0
0.056056,0
0.057057,0
0.058058,0
0.059059,0
0.06006,0
0.061061,0
0.062062,0
0.063063,0.00026226
0.064064,0.0013943
0.065065,0.003381
0.066066,0.0061803
0.067067,0.0097512
0.068068,0.014054
0.069069,0.019049
0.07007,0.024699
0.071071,0.030967
0.072072,0.037817
0.073073,0.045216
0.074074,0.05313
0.075075,0.061527
0.076076,0.070375
0.077077,0.079645
0.078078,0.089309
0.079079,0.099338
0.08008,0.10971
0.081081,0.12039
0.082082,0.13135
0.083083,0.14259
0.084084,0.15406
0.085085,0.16576
0.086086,0.17766
0.087087,0.18973
0.088088,0.20197
0.089089,0.21434
0.09009,0.22684
0.091091,0.23945
0.092092,0.25215
0.093093,0.26493
0.094094,0.27777
0.095095,0.29066
0.096096,0.30358
0.097097,0.31652
0.098098,0.32948
0.099099,0.34243
0.1001,0.35537
0.1011,0.36829
0.1021,0.38117
0.1031,0.39402
0.1041,0.40681
0.10511,0.41955
0.10611,0.43222
0.10711,0.44481
0.10811,0.45733
0.10911,0.46975
0.11011,0.48208
0.11111,0.49432
0.11211,0.50645
0.11311,0.51846
0.11411,0.53036
0.11512,0.54214
0.11612,0.5538
0.11712,0.56533
0.11812,0.57673
0.11912,0.58799
0.12012,0.59911
0.12112,0.61009
0.12212,0.62093
0.12312,0.63162
0.12412,0.64216
0.12513,0.65254
0.12613,0.66278
0.12713,0.67286
0.12813,0.68278
0.12913,0.69255
0.13013,0.70215
0.13113,0.7116
0.13213,0.72088
0.13313,0.73001
0.13413,0.73896
0.13514,0.74776
0.13614,0.75639
0.13714,0.76486
0.13814,0.77316
0.13914,0.7813
0.14014,0.78928
0.14114,0.79709
0.14214,0.80473
0.14314,0.81222
0.14414,0.81953
0.14515,0.82669
0.14615,0.83368
0.14715,0.84051
0.14815,0.84718
0.14915,0.85369
0.15015,0.86004
0.15115,0.86623
0.15215,0.87226
0.15315,0.87814
0.15415,0.88386
0.15516,0.88942
0.15616,0.89483
0.15716,0.90008
0.15816,0.90519
0.15916,0.91014
0.16016,0.91494
0.16116,0.9196
0.16216,0.9241
0.16316,0.92846
0.16416,0.93268
0.16517,0.93675
0.16617,0.94068
0.16717,0.94447
0.16817,0.94812
0.16917,0.95163
0.17017,0.95501
0.17117,0.95825
0.17217,0.96136
0.17317,0.96433
0.17417,0.96717
0.17518,0.96989
0.17618,0.97247
0.17718,0.97493
0.17818,0.97727
0.17918,0.97948
0.18018,0.98157
0.18118,0.98353
0.18218,0.98538
0.18318,0.98711
0.18418,0.98873
0.18519,0.99023
0.18619,0.99162
0.18719,0.99289
0.18819,0.99405
0.18919,0.99511
0.19019,0.99606
0.19119,0.9969
0.19219,0.99764
0.19319,0.99827
0.19419,0.99881
0.1952,0.99924
0.1962,0.99957
0.1972,0.99981
0.1982,0.99995
0.1992,1
0.2002,0.99995
0.2012,0.99982
0.2022,0.99959
0.2032,0.99927
0.2042,0.99887
0.20521,0.99837
0.20621,0.9978
0.20721,0.99714
0.20821,0.9964
0.20921,0.99558
0.21021,0.99467
0.21121,0.99369
0.21221,0.99264
0.21321,0.9915
0.21421,0.9903
0.21522,0.98901
0.21622,0.98766
0.21722,0.98624
0.21822,0.98475
0.21922,0.98319
0.22022,0.98156
0.22122,0.97986
0.22222,0.9781
0.22322,0.97628
0.22422,0.9744
0.22523,0.97245
0.22623,0.97045
0.22723,0.96838
0.22823,0.96626
0.22923,0.96408
0.23023,0.96184
0.23123,0.95955
0.23223,0.95721
0.23323,0.95481
0.23423,0.95236
0.23524,0.94987
0.23624,0.94732
0.23724,0.94472
0.23824,0.94208
0.23924,0.93939
0.24024,0.93665
0.24124,0.93387
0.24224,0.93105
0.24324,0.92818
0.24424,0.92527
0.24525,0.92233
0.24625,0.91934
0.24725,0.91631
0.24825,0.91324
0.24925,0.91014
0.25025,0.907
0.25125,0.90383
0.25225,0.90062
0.25325,0.89737
0.25425,0.8941
0.25526,0.89079
0.25626,0.88745
0.25726,0.88408
0.25826,0.88068
0.25926,0.87725
0.26026,0.87379
0.26126,0.8703
0.26226,0.86679
0.26326,0.86325
0.26426,0.85969
0.26527,0.8561
0.26627,0.85249
0.26727,0.84885
0.26827,0.84519
0.26927,0.84151
0.27027,0.83781
0.27127,0.83409
0.27227,0.83035
0.27327,0.82659
0.27427,0.82281
0.27528,0.81901
0.27628,0.81519
0.27728,0.81136
0.27828,0.80751
0.27928,0.80365
0.28028,0.79977
0.28128,0.79588
0.28228,0.79197
0.28328,0.78805
0.28428,0.78412
0.28529,0.78017
0.28629,0.77622
0.28729,0.77225
0.28829,0.76827
0.28929,0.76428
0.29029,0.76028
0.29129,0.75628
0.29229,0.75226
0.29329,0.74823
0.29429,0.7442
0.2953,0.74016
0.2963,0.73612
0.2973,0.73206
0.2983,0.72801
0.2993,0.72394
0.3003,0.71987
0.3013,0.7158
0.3023,0.71172
0.3033,0.70764
0.3043,0.70356
0.30531,0.69947
0.30631,0.69538
0.30731,0.69129
0.30831,0.6872
0.30931,0.6831
0.31031,0.67901
0.31131,0.67491
0.31231,0.67081
0.31331,0.66672
0.31431,0.66262
0.31532,0.65852
0.31632,0.65443
0.31732,0.65034
0.31832,0.64625
0.31932,0.64216
0.32032,0.63807
0.32132,0.63399
0.32232,0.62991
0.32332,0.62583
0.32432,0.62176
0.32533,0.61769
0.32633,0.61362
0.32733,0.60956
0.32833,0.6055
0.32933,0.60145
0.33033,0.59741
0.33133,0.59337
0.33233,0.58933
0.33333,0.58531
0.33433,0.58128
0.33534,0.57727
0.33634,0.57326
0.33734,0.56926
0.33834,0.56526
0.33934,0.56128
0.34034,0.5573
0.34134,0.55333
0.34234,0.54937
0.34334,0.54541
0.34434,0.54147
0.34535,0.53753
0.34635,0.5336
0.34735,0.52968
0.34835,0.52578
0.34935,0.52188
0.35035,0.51799
0.35135,0.51411
0.35235,0.51024
0.35335,0.50638
0.35435,0.50253
0.35536,0.49869
0.35636,0.49487
0.35736,0.49105
0.35836,0.48725
0.35936,0.48345
0.36036,0.47967
0.36136,0.4759
0.36236,0.47214
0.36336,0.46839
0.36436,0.46466
0.36537,0.46094
0.36637,0.45723
0.36737,0.45353
0.36837,0.44984
0.36937,0.44617
0.37037,0.44251
0.37137,0.43887
0.37237,0.43523
0.37337,0.43161
0.37437,0.428
0.37538,0.42441
0.37638,0.42083
0.37738,0.41726
0.37838,0.41371
0.37938,0.41017
0.38038,0.40665
0.38138,0.40314
0.38238,0.39964
0.38338,0.39616
0.38438,0.39269
0.38539,0.38923
0.38639,0.38579
0.38739,0.38237
0.38839,0.37896
0.38939,0.37556
0.39039,0.37218
0.39139,0.36882
0.39239,0.36547
0.39339,0.36213
0.39439,0.35881
0.3954,0.3555
0.3964,0.35221
0.3974,0.34894
0.3984,0.34568
0.3994,0.34243
0.4004,0.3392
0.4014,0.33599
0.4024,0.33279
0.4034,0.32961
0.4044,0.32644
0.40541,0.32329
0.40641,0.32015
0.40741,0.31703
0.40841,0.31393
0.40941,0.31084
0.41041,0.30777
0.41141,0.30471
0.41241,0.30167
0.41341,0.29865
0.41441,0.29564
0.41542,0.29265
0.41642,0.28967
0.41742,0.28671
0.41842,0.28377
0.41942,0.28084
0.42042,0.27793
0.42142,0.27503
0.42242,0.27215
0.42342,0.26929
0.42442,0.26644
0.42543,0.26361
0.42643,0.2608
0.42743,0.258
0.42843,0.25522
